Órgão,Grupo,Quem faz,Atribuição
CADG,1,COMUNICAÇÃO,Faz a gestão do portal do MPRJ e da programação visual do site do MPRJ
CADG,1,COMUNICAÇÃO,Difunde conhecimento sobre o funcionamento e a atuação do MPRJ
CADG,1,COMUNICAÇÃO,Estimula e apoia a contribuição de atores externos ao trabalho dos órgãos do MPRJ
CADG,1,COMUNICAÇÃO,Estimula a criação de rede de atores internos e externos
CADG,1,CENPE,Desenha e conduz avaliações de impacto para processos e iniciativas do MPRJ
CADG,1,CENPE,Avalia a efetividade das políticas públicas
CADG,1,CENPE,Interage e compartilha conhecimento com outras instituições de ensino e pesquisa
CADG,1,CENPE,Realiza revisões de literatura e de iniciativas de políticas públicas
CADG,1,CENPE,Identifica problemas públicos relevantes
CADG,1,STIC,Desenvolve sistemas a partir da análise de dados externos e internos
CADG,1,STIC,Produz conhecimento com análise crítica
CADG,1,STIC,Implementa programa de segurança da informação
CADG,1,STIC,Implementa programa e medidas de proteção de dados em poder do MPRJ
CADG,1,STIC,Avalia fluxos e processos
CADG,1,STIC,Dá suporte ou faz a aquisição de produtos de TIC institucionais
CADG,1,STIC,Desenvolve sites para campanhas e casos de atuação do MPRJ
CADG,1,STIC,Faz a gestão do parque de infraestrutura e tecnologia e telecomunicação do MPRJ
CADG,1,STIC,Apoia os CAOs e grupos
CADG,1,STIC,Coleta dados da atuação institucional
CADG,1,STIC,Promove e organiza a gestão do conhecimento técnico do MPRJ
CADG,1,STIC,Desenvolve sistemas de tecnologia da informação de uso interno
CADG,1,GATE,Oferece consultoria técnica
CADG,1,GATE,Dá suporte técnico a casos concretos de atuação do MPRJ
CADG,1,GATE,Dá suporte técnico e científico para temas relacionados à atividade-fim do MPRJ
CADG,1,GATE,Promove e organiza a gestão do conhecimento técnico do MPRJ
CADG,1,GATE,Apoia os CAOs e grupos
CADG,1,GATE,Coleta dados da atuação institucional
CADG,1,CADG,"Coleta, analisa e sistematiza dados internos e externos georreferenciados"
CADG,1,CADG,Difunde informação de interesse social a partir da coleta e análise de dados
CADG,1,CADG,Desenvolve aplicações a partir da análise de dados internos e externos
CADG,1,CADG,"Coleta, trata, guarda e disponibiliza dados internos e externos"
CADG,1,CADG,Elabora diagnósticos de órgãos do Ministério Público
CADG,1,CADG,Desenvolve e gerencia plataformas de divulgação de informações de interesse social
CADG,1,CADG,Desenvolve visualizações estáticas e interativas de dados processados
CADG,1,CADG,Desenvolve sistemas de tecnologia da informação de uso interno
CADG,1,CADG,Apoia os CAOs e grupos
CADG,1,CADG,Coleta dados da atuação institucional
CADG,1,CADG,"Fomenta inovação, transparência, inclusão e participação na gestão pública"
CADG,1,CADG,Desenvolve sites para campanhas e casos de atuação do MPRJ
CADG,1,INOVA,Faz experimentos
CADG,1,INOVA,Fomenta e dá suporte à integração e trabalho em conjunto entre diversos órgãos
CADG,1,INOVA,Difunde inovação e boas práticas sobre administração pública
CADG,1,INOVA,Difunde a cultura e métodos de ideação e inovação
CADG,1,INOVA,Prospecta no Brasil e no mundo tendências e iniciativas de inovação
CADG,1,INOVA,"Fomenta inovação, transparência, inclusão e participação na gestão pública"
CADG,1,IEP,Oferece o apoio pedagógico e logístico às ações treinamento
CADG,1,IEP,Dissemina conhecimento
CADG,1,IEP,"Fomenta inovação, transparência, inclusão e participação na gestão pública"
CADG,1,CSI,Monitora dados relativos a presos e organizações criminosas
CADG,1,CSI,Gerencia bancos de dados com informações sensíveis e sigilosas
CADG,1,CSI,Usa ferramentas de ciências de dados para o suporte a investigações criminais
CADG,1,SUBPLAN,Promove a atuação sistêmica do MPRJ
CADG,1,SUBPLAN,Contribuição para a eleição de prioridades de atuação do MPRJ
CADG,1,NINGUÉM,Promove e fomenta análises interdisciplinares
CADG,1,NINGUÉM,Potencializa o impacto social do MPRJ
CADG,1,NINGUÉM,Difunde os métodos de pesquisa científica e uso de evidências 
CADG,2,IEP,Realiza revisões de literatura e de iniciativas de políticas públicas
CADG,2,IEP,Oferece o apoio pedagógico e logístico às ações treinamento
CADG,2,IEP,Difunde conhecimento sobre o funcionamento e a atuação do MPRJ
CADG,2,IEP,Interage e compartilha conhecimento com outras instituições de ensino e pesquisa
CADG,2,IEP,Dissemina conhecimento
CADG,2,IEP,Apoia os CAOs e grupos
CADG,2,IEP,Potencializa o impacto social do MPRJ
CADG,2,CSI,Monitora dados relativos a presos e organizações criminosas
CADG,2,CSI,Implementa programa e medidas de proteção de dados em poder do MPRJ
