Órgão,Grupo,Quem faz,Atribuição,Id_atrib
CADG,1,COMUNICAÇÃO,Faz a gestão do portal do MPRJ e da programação visual do site do MPRJ,1
CADG,1,COMUNICAÇÃO,Difunde conhecimento sobre o funcionamento e a atuação do MPRJ,2
CADG,1,COMUNICAÇÃO,Estimula e apoia a contribuição de atores externos ao trabalho dos órgãos do MPRJ,3
CADG,1,COMUNICAÇÃO,Estimula a criação de rede de atores internos e externos,4
CADG,1,CENPE,Desenha e conduz avaliações de impacto para processos e iniciativas do MPRJ,5
CADG,1,CENPE,Avalia a efetividade das políticas públicas,6
CADG,1,CENPE,Interage e compartilha conhecimento com outras instituições de ensino e pesquisa,7
CADG,1,CENPE,Realiza revisões de literatura e de iniciativas de políticas públicas,8
CADG,1,CENPE,Identifica problemas públicos relevantes,9
CADG,1,STIC,Desenvolve sistemas a partir da análise de dados externos e internos,10
CADG,1,STIC,Produz conhecimento com análise crítica,11
CADG,1,STIC,Implementa programa de segurança da informação,12
CADG,1,STIC,Implementa programa e medidas de proteção de dados em poder do MPRJ,13
CADG,1,STIC,Avalia fluxos e processos,14
CADG,1,STIC,Dá suporte ou faz a aquisição de produtos de TIC institucionais,15
CADG,1,STIC,Desenvolve sites para campanhas e casos de atuação do MPRJ,16
CADG,1,STIC,Faz a gestão do parque de infraestrutura e tecnologia e telecomunicação do MPRJ,17
CADG,1,STIC,Apoia os CAOs e grupos,18
CADG,1,STIC,Coleta dados da atuação institucional,19
CADG,1,STIC,Promove e organiza a gestão do conhecimento técnico do MPRJ,20
CADG,1,STIC,Desenvolve sistemas de tecnologia da informação de uso interno,21
CADG,1,GATE,Oferece consultoria técnica,22
CADG,1,GATE,Dá suporte técnico a casos concretos de atuação do MPRJ,23
CADG,1,GATE,Dá suporte técnico e científico para temas relacionados à atividade-fim do MPRJ,24
CADG,1,CADG,"Coleta, analisa e sistematiza dados internos e externos georreferenciados",25
CADG,1,CADG,Difunde informação de interesse social a partir da coleta e análise de dados,26
CADG,1,CADG,Desenvolve aplicações a partir da análise de dados internos e externos,27
CADG,1,CADG,"Coleta, trata, guarda e disponibiliza dados internos e externos",28
CADG,1,CADG,Elabora diagnósticos de órgãos do Ministério Público,29
CADG,1,CADG,Desenvolve e gerencia plataformas de divulgação de informações de interesse social,30
CADG,1,CADG,Desenvolve visualizações estáticas e interativas de dados processados,31
CADG,1,CADG,"Fomenta inovação, transparência, inclusão e participação na gestão pública",32
CADG,1,INOVA,Faz experimentos,33
CADG,1,INOVA,Fomenta e dá suporte à integração e trabalho em conjunto entre diversos órgãos,34
CADG,1,INOVA,Difunde inovação e boas práticas sobre administração pública,35
CADG,1,INOVA,Difunde a cultura e métodos de ideação e inovação,36
CADG,1,INOVA,Prospecta no Brasil e no mundo tendências e iniciativas de inovação,37
CADG,1,IEP,Oferece o apoio pedagógico e logístico às ações treinamento,38
CADG,1,IEP,Dissemina conhecimento,39
CADG,1,CSI,Monitora dados relativos a presos e organizações criminosas,40
CADG,1,CSI,Gerencia bancos de dados com informações sensíveis e sigilosas,41
CADG,1,CSI,Usa ferramentas de ciências de dados para o suporte a investigações criminais,42
CADG,1,SUBPLAN,Promove a atuação sistêmica do MPRJ,43
CADG,1,SUBPLAN,Contribuição para a eleição de prioridades de atuação do MPRJ,44
CADG,1,NINGUÉM,Promove e fomenta análises interdisciplinares,45
CADG,1,NINGUÉM,Potencializa o impacto social do MPRJ,46
CADG,1,NINGUÉM,Difunde os métodos de pesquisa científica e uso de evidências ,47
CADG,2,CENPE,Iniciativas de políticas públicas,48
CENPE,2,NINGUÉM,Interage com atores externos para difusão de conhecimento,49
CENPE,2,NINGUÉM,Interage com atores externos para implementação de mudanças,50
