,Atribuição,Quem_falou,Quem_faz,Quantidade_qf
0,Apoia os CAOs e grupos,"['CADG', 'CADG', 'GATE', 'GATE', 'STIC', 'STIC', 'CSI', 'IEP', 'IEP', 'INOVA', 'INOVA']",GATE,11
1,Avalia a efetividade das políticas públicas,"['GATE', 'GATE']",GATE,2
2,Coleta dados da atuação institucional,"['CADG', 'INOVA']",GATE,2
3,"Coleta, analisa e sistematiza dados internos e externos georreferenciados",['GATE'],GATE,1
4,"Coleta, trata, guarda e disponibiliza dados internos e externos","['GATE', 'CSI']",GATE,2
5,Desenha e conduz avaliações de impacto para processos e iniciativas do MPRJ,['CSI'],GATE,1
6,Desenvolve visualizações estáticas e interativas de dados processados,"['GATE', 'CSI', 'INOVA']",GATE,3
7,Difunde a cultura e métodos de ideação e inovação,['CSI'],GATE,1
8,Difunde informação de interesse social a partir da coleta e análise de dados,['GATE'],GATE,1
9,Difunde os métodos de pesquisa científica e uso de evidências ,['GATE'],GATE,1
10,Dissemina conhecimento,"['CADG', 'GATE', 'CSI']",GATE,3
11,Dá suporte ou faz a aquisição de produtos de TIC institucionais,['IEP'],GATE,1
12,Dá suporte técnico a casos concretos de atuação do MPRJ,"['CADG', 'CADG', 'CENPE', 'CENPE', 'GATE', 'GATE', 'STIC', 'STIC', 'CSI', 'IEP', 'INOVA', 'INOVA']",GATE,12
13,Dá suporte técnico e científico para temas relacionados à atividade-fim do MPRJ,"['CADG', 'CADG', 'CENPE', 'CENPE', 'GATE', 'GATE', 'STIC', 'STIC', 'CSI', 'IEP', 'IEP', 'INOVA']",GATE,12
14,Estimula e apoia a contribuição de atores externos ao trabalho dos órgãos do MPRJ,['GATE'],GATE,1
15,Faz experimentos,"['STIC', 'STIC', 'CSI', 'INOVA']",GATE,4
16,Fomenta e dá suporte à integração e trabalho em conjunto entre diversos órgãos,['CENPE'],GATE,1
17,Identifica problemas públicos relevantes,['CSI'],GATE,1
18,Interage e compartilha conhecimento com outras instituições de ensino e pesquisa,['GATE'],GATE,1
19,Oferece consultoria técnica,"['CADG', 'CADG', 'CENPE', 'CENPE', 'GATE', 'GATE', 'STIC', 'CSI', 'IEP', 'IEP', 'INOVA']",GATE,11
20,Potencializa o impacto social do MPRJ,['CADG'],GATE,1
21,Produz conhecimento com análise crítica,"['GATE', 'GATE', 'STIC', 'CSI']",GATE,4
22,Promove e fomenta análises interdisciplinares,"['GATE', 'GATE', 'INOVA']",GATE,3
23,Promove e organiza a gestão do conhecimento técnico do MPRJ,"['CADG', 'CADG', 'CENPE', 'CENPE', 'GATE', 'GATE', 'IEP']",GATE,7
24,Realiza revisões de literatura e de iniciativas de políticas públicas,['GATE'],GATE,1
25,Usa ferramentas de ciências de dados para o suporte a investigações criminais,['IEP'],GATE,1
0,Apoia os CAOs e grupos,"['CADG', 'CENPE', 'CENPE', 'GATE', 'CSI']",CENPE,5
1,Avalia a efetividade das políticas públicas,"['CADG', 'CADG', 'CENPE', 'GATE', 'STIC', 'STIC', 'CSI', 'CSI', 'IEP', 'INOVA']",CENPE,10
2,Avalia fluxos e processos,['CENPE'],CENPE,1
3,Coleta dados da atuação institucional,"['CADG', 'CENPE', 'STIC', 'STIC', 'CSI', 'INOVA']",CENPE,6
4,"Coleta, trata, guarda e disponibiliza dados internos e externos",['CENPE'],CENPE,1
5,Contribuição para a eleição de prioridades de atuação do MPRJ,['CENPE'],CENPE,1
6,Desenha e conduz avaliações de impacto para processos e iniciativas do MPRJ,"['CADG', 'CENPE', 'STIC', 'INOVA']",CENPE,4
7,Desenvolve visualizações estáticas e interativas de dados processados,"['CENPE', 'CENPE', 'STIC', 'CSI', 'CSI']",CENPE,5
8,Difunde conhecimento sobre o funcionamento e a atuação do MPRJ,['IEP'],CENPE,1
9,Difunde informação de interesse social a partir da coleta e análise de dados,"['CADG', 'CENPE', 'STIC', 'IEP', 'INOVA', 'INOVA']",CENPE,6
10,Difunde inovação e boas práticas sobre administração pública,['CENPE'],CENPE,1
11,Difunde os métodos de pesquisa científica e uso de evidências ,"['CADG', 'CENPE', 'CENPE', 'GATE', 'GATE', 'STIC', 'STIC', 'CSI', 'CSI', 'IEP', 'INOVA']",CENPE,11
12,Dissemina conhecimento,"['CADG', 'CENPE', 'IEP', 'INOVA']",CENPE,4
13,Dá suporte técnico a casos concretos de atuação do MPRJ,['INOVA'],CENPE,1
14,Dá suporte técnico e científico para temas relacionados à atividade-fim do MPRJ,"['GATE', 'CSI', 'INOVA']",CENPE,3
15,Elabora diagnósticos de órgãos do Ministério Público,"['CADG', 'CENPE', 'CENPE', 'STIC', 'STIC', 'CSI']",CENPE,6
16,Estimula a criação de rede de atores internos e externos,"['CENPE', 'CSI']",CENPE,2
17,Estimula e apoia a contribuição de atores externos ao trabalho dos órgãos do MPRJ,"['CENPE', 'CENPE', 'IEP']",CENPE,3
18,Faz experimentos,"['STIC', 'STIC']",CENPE,2
19,Fomenta e dá suporte à integração e trabalho em conjunto entre diversos órgãos,['CENPE'],CENPE,1
20,"Fomenta inovação, transparência, inclusão e participação na gestão pública",['CADG'],CENPE,1
21,Identifica problemas públicos relevantes,"['CADG', 'CADG', 'CENPE', 'CENPE', 'GATE', 'GATE', 'STIC', 'CSI', 'IEP', 'INOVA', 'INOVA']",CENPE,11
22,Iniciativas de políticas públicas,['CADG'],CENPE,1
23,Interage e compartilha conhecimento com outras instituições de ensino e pesquisa,"['CADG', 'CENPE', 'CENPE', 'GATE']",CENPE,4
24,Monitora dados relativos a presos e organizações criminosas,['CENPE'],CENPE,1
25,Oferece consultoria técnica,['CENPE'],CENPE,1
26,Potencializa o impacto social do MPRJ,"['CADG', 'STIC', 'IEP']",CENPE,3
27,Produz conhecimento com análise crítica,"['CADG', 'CENPE', 'CENPE', 'GATE', 'IEP', 'INOVA', 'INOVA']",CENPE,7
28,Promove e fomenta análises interdisciplinares,"['CADG', 'CENPE', 'CENPE', 'GATE', 'STIC', 'STIC', 'IEP', 'IEP', 'INOVA', 'INOVA']",CENPE,10
29,Promove e organiza a gestão do conhecimento técnico do MPRJ,"['CSI', 'IEP']",CENPE,2
30,Realiza revisões de literatura e de iniciativas de políticas públicas,"['CADG', 'CENPE', 'CENPE', 'GATE', 'GATE', 'STIC', 'CSI', 'IEP', 'INOVA', 'INOVA']",CENPE,10
0,Apoia os CAOs e grupos,"['CADG', 'CADG', 'CENPE', 'GATE']",CADG,4
1,Coleta dados da atuação institucional,"['CADG', 'CADG', 'CENPE', 'GATE', 'GATE', 'STIC', 'CSI', 'IEP', 'IEP', 'INOVA']",CADG,10
2,"Coleta, analisa e sistematiza dados internos e externos georreferenciados","['CADG', 'CADG', 'CENPE', 'CENPE', 'GATE', 'GATE', 'STIC', 'STIC', 'CSI', 'IEP', 'IEP', 'INOVA', 'INOVA']",CADG,13
3,"Coleta, trata, guarda e disponibiliza dados internos e externos","['CADG', 'CADG', 'CENPE', 'CENPE', 'GATE', 'GATE', 'STIC', 'STIC', 'CSI', 'IEP', 'IEP', 'INOVA', 'INOVA']",CADG,13
4,Contribuição para a eleição de prioridades de atuação do MPRJ,['CENPE'],CADG,1
5,Desenvolve aplicações a partir da análise de dados internos e externos,"['CADG', 'CADG', 'CENPE', 'CENPE', 'GATE', 'GATE', 'STIC', 'INOVA', 'INOVA']",CADG,9
