,Atribuição,Quem_falou,Quem_faz,Quantidade_qf
0,Apoia os CAOs e grupos,"['CADG', 'CADG', 'GATE', 'GATE', 'STIC', 'STIC', 'CSI', 'CSI', 'IEP', 'IEP', 'INOVA', 'INOVA']",GATE,12
1,Avalia a efetividade das políticas públicas,['GATE'],GATE,1
2,Avalia fluxos e processos,['CSI'],GATE,1
3,Coleta dados da atuação institucional,"['CADG', 'GATE']",GATE,2
4,"Coleta, analisa e sistematiza dados internos e externos georreferenciados","['GATE', 'GATE', 'CSI']",GATE,3
5,"Coleta, trata, guarda e disponibiliza dados internos e externos","['GATE', 'GATE', 'CSI', 'CSI']",GATE,4
6,Contribuição para a eleição de prioridades de atuação do MPRJ,"['GATE', 'CSI', 'INOVA']",GATE,3
7,Desenvolve aplicações a partir da análise de dados internos e externos,"['GATE', 'CSI']",GATE,2
8,Desenvolve e gerencia plataformas de divulgação de informações de interesse social,['GATE'],GATE,1
9,Desenvolve visualizações estáticas e interativas de dados processados,"['GATE', 'CSI']",GATE,2
10,Difunde a cultura e métodos de ideação e inovação,['CSI'],GATE,1
11,Difunde informação de interesse social a partir da coleta e análise de dados,"['GATE', 'CSI']",GATE,2
12,Difunde inovação e boas práticas sobre administração pública,['CSI'],GATE,1
13,Difunde os métodos de pesquisa científica e uso de evidências ,['GATE'],GATE,1
14,Dissemina conhecimento,"['CADG', 'CSI', 'CSI']",GATE,3
15,Dá suporte ou faz a aquisição de produtos de TIC institucionais,['IEP'],GATE,1
16,Dá suporte técnico a casos concretos de atuação do MPRJ,"['CADG', 'CADG', 'CENPE', 'CENPE', 'GATE', 'GATE', 'STIC', 'STIC', 'CSI', 'CSI', 'IEP', 'CENPE', 'CENPE', 'INOVA', 'INOVA']",GATE,15
17,Dá suporte técnico e científico para temas relacionados à atividade-fim do MPRJ,"['CADG', 'CADG', 'CENPE', 'CENPE', 'GATE', 'GATE', 'STIC', 'STIC', 'CSI', 'IEP', 'IEP', 'CENPE', 'CENPE', 'INOVA', 'INOVA']",GATE,15
18,Estimula a criação de rede de atores internos e externos,"['CADG', 'INOVA', 'INOVA']",GATE,3
19,Estimula e apoia a contribuição de atores externos ao trabalho dos órgãos do MPRJ,"['CADG', 'INOVA']",GATE,2
20,Faz experimentos,"['CADG', 'STIC', 'STIC', 'CSI', 'INOVA', 'INOVA']",GATE,6
21,Fomenta e dá suporte à integração e trabalho em conjunto entre diversos órgãos,['CADG'],GATE,1
22,"Fomenta inovação, transparência, inclusão e participação na gestão pública","['CADG', 'INOVA']",GATE,2
23,Gerencia bancos de dados com informações sensíveis e sigilosas,"['STIC', 'CSI', 'IEP']",GATE,3
24,Identifica problemas públicos relevantes,"['GATE', 'CSI']",GATE,2
25,Implementa programa e medidas de proteção de dados em poder do MPRJ,['CSI'],GATE,1
26,Monitora dados relativos a presos e organizações criminosas,"['STIC', 'CSI', 'IEP']",GATE,3
27,Oferece consultoria técnica,"['CADG', 'CADG', 'CENPE', 'CENPE', 'GATE', 'GATE', 'STIC', 'CSI', 'CSI', 'IEP', 'IEP', 'CENPE', 'CENPE', 'INOVA']",GATE,14
28,Potencializa o impacto social do MPRJ,"['CADG', 'CENPE', 'CSI', 'CENPE', 'INOVA', 'INOVA']",GATE,6
29,Produz conhecimento com análise crítica,"['CADG', 'GATE', 'GATE', 'STIC', 'CSI', 'CSI']",GATE,6
30,Promove a atuação sistêmica do MPRJ,"['CADG', 'INOVA']",GATE,2
